Alders
Plumeria rubra
Arecaceae
Main article: List of palms native to the Caribbean
Araliaceae
Aralia
Aralia excelsa[3]
Aralia rex[4]
Dendropanax
Dendropanax arboreus[5]
Dendropanax blakeanus[6]
Dendropanax cordifolius[7]
Dendropanax cuneifolius[8]
Dendropanax elongatus[9]
Dendropanax filipes[10]
Dendropanax grandiflorus[11]
Dendropanax grandis[12]
Dendropanax laurifolius[13]
Dendropanax nervosus[14]
Dendropanax nutans[15]
Dendropanax oblanceatus[16]
Dendropanax pendulus[17]
Dendropanax portlandianus[18]
Dendropanax selleanus[19]
Dendropanax swartzii[20]
Oreopanax
Oreopanax capitatus[21]
Oreopanax dussii[22]
Oreopanax ramosissimus[23]
Schefflera
Schefflera attenuata[24]
Schefflera glabrata[25]
Schefflera gleasonii[26]
Schefflera morototoni[27]
Schefflera sciodaphyllum[28]
Schefflera stearnii[29]
Schefflera tremula[30]
Schefflera troyana[31]
Schefflera urbaniana[32]
Bignoniaceae
Catalpa longissima
Crescentia
Crescentia cujete (Calabash)
Crescentia portoricensis
Tabebuia
Tabebuia heterophylla
Tabebuia rosea
Tecoma stans
Bombacaceae
Ceiba pentandra (Kapok)
Ochroma pyramidale
Boraginaceae
Bourreria succulenta
Cordia
Cordia alliodora
Cordia sulcata
Rochefortia acanthophora
Burseraceae

Bursera simaruba
Dacryodes excelsa (Tabonuco)
Bursera simaruba
Buxaceae
Buxus
Buxus aneura
Buxus brevipes
Buxus crassifolia
Buxus ekmanii
Buxus excisa
Buxus heterophylla
Buxus imbricata
Buxus muelleriana
Buxus olivacea
Buxus pilosula
Buxus portoricensis
Buxus rheedioides
Buxus vahlii
Canellaceae
Canella winteriana
Cannabaceae
Celtis trinervia
Capparidaceae
Capparis
Capparis baducca
Capparis cynophallophora
Capparis flexuosa
Capparis hastata
Capparis indica
Celastraceae
Cassine xylocarpa
Gyminda latifolia
Maytenus
Maytenus monticola[2]
Maytenus reflex[2]
Schaefferia frutescens
Clusiaceae
Calophyllum
Calophyllum calaba
Calophyllum lucidum
Clusia
Clusia aripoensis[2]
Clusia intertexta[2]
Clusia minor
Clusia rosea
Clusia tocuchensis[2]
Mammea americana
Combretaceae
Conocarpus erectus
Buchenavia tetraphylla
Bucida buceras
Conocarpus erectus (Buttonwood)
Laguncularia racemosa
Terminalia amazonia
Cupressaceae
Juniperus barbadensis
Juniperus gracilior
Juniperus saxicola
Cyrillaceae
Cyrilla racemiflora
Cyrilla racemiflora
Dilleniaceae
Curatella americana
Elaeocarpaceae
Muntingia calabura
Sloanea berteroana
Sloanea caribaea
Erythroxylaceae
Erythroxylum
Erythroxylum areolatum
Erythroxylum brevipes
Erythroxylum rotundifolium
Erythroxylum urbanii
Euphorbiaceae
Adelia rincinella
Alchornea latifolia
Bernardia dichotoma
Fluggea acidoton
Gymnanthes lucida
Hura crepitans
Jatropha hernandiifolia
Picrodendron baccatum
Savia sessiliflora
Fabaceae
Enterolobium cyclocarpum
Andira inermis
Caesalpinia coriaria
Enterolobium cyclocarpum
Hymenaea courbaril
Inga
Inga fagifolia
Inga vera
Mora excelsa
Ormosia krugii
Pictetia aculeata
Piscidia carthagenensis
Pithecellobium unguis-cati
Pterocarpus officinalis
Flacourtiaceae
Samyda dodecandra
Xylosoma buxifolia
Garryaceae
Garrya fadyenii
Hernandiaceae
Hernandia sonora
Juglandaceae
Juglans jamaicensis
Lecythidaceae
Eschweilera subglandulosa
Malpighiaceae
Byrsonima
Byrsonima crassifolia
Byrsonima spicata
Malvaceae
Talipariti elatum (Blue Mahoe)
Thespesia grandiflora
Magnoliaceae
Magnolia
Magnolia cristalensis [33]
Magnolia cubensis [34]
Magnolia dealbata [35]
Magnolia domingensis [36]
Magnolia ekmanii [37]
Magnolia emarginata [38]
Magnolia hamorii [39]
Magnolia minor [40]
Magnolia pallescens [41]
Magnolia portoricensis [42]
Magnolia splendens [43]
Meliaceae
Cedrela odorata
Carapa
Carapa guianensis
Cedrela odorata
Guarea
Guarea guidonia
Swietenia mahagoni (West Indian Mahogany)
Trichilia
Trichilia hirta
Trichilia triacantha
Moraceae
Cecropia
Cecropia peltata
Cecropia schreberiana
Ficus
Ficus americana[44]
Ficus aurea[44]
Ficus citrifolia
Ficus maxima[45]
Maclura tinctoria
Myrtaceae
Eugenia
Eugenia axillaris
Eugenia biflora
Eugenia cruegeri[2]
Eugenia foetida
Eugenia lingustrina
Eugenia Acanthaceae
Avicennia germinans
Anacardiaceae
Comocladia dodonaea
Spondias mombin
Annonaceae
Annona trinitensis [2]
Duguetia
Duguetia lucida
Duguetia tobagensis[2]
Rollinia
Rollinia mucosa
Rollinia exsucca[2]
Apocynaceae
Plumeria rubra
Arecaceae
Main article: List of palms native to the Caribbean
Araliaceae
Aralia
Aralia excelsa[3]
Aralia rex[4]
Dendropanax
Dendropanax arboreus[5]
Dendropanax blakeanus[6]
Dendropanax cordifolius[7]
Dendropanax cuneifolius[8]
Dendropanax elongatus[9]
Dendropanax filipes[10]
Dendropanax grandiflorus[11]
Dendropanax grandis[12]
Dendropanax laurifolius[13]
Dendropanax nervosus[14]
Dendropanax nutans[15]
Dendropanax oblanceatus[16]
Dendropanax pendulus[17]
Dendropanax portlandianus[18]
Dendropanax selleanus[19]
Dendropanax swartzii[20]
Oreopanax
Oreopanax capitatus[21]
Oreopanax dussii[22]
Oreopanax ramosissimus[23]
Schefflera
Schefflera attenuata[24]
Schefflera glabrata[25]
Schefflera gleasonii[26]
Schefflera morototoni[27]
Schefflera sciodaphyllum[28]
Schefflera stearnii[29]
Schefflera tremula[30]
Schefflera troyana[31]
Schefflera urbaniana[32]
Bignoniaceae
Catalpa longissima
Crescentia
Crescentia cujete (Calabash)
Crescentia portoricensis
Tabebuia
Tabebuia heterophylla
Tabebuia rosea
Tecoma stans
Bombacaceae
Ceiba pentandra (Kapok)
Ochroma pyramidale
Boraginaceae
Bourreria succulenta
Cordia
Cordia alliodora
Cordia sulcata
Rochefortia acanthophora
Burseraceae
Bursera simaruba
Dacryodes excelsa (Tabonuco)
Bursera simaruba
Buxaceae
Buxus
Buxus aneura
Buxus brevipes
Buxus crassifolia
Buxus ekmanii
Buxus excisa
Buxus heterophylla
Buxus imbricata
Buxus muelleriana
Buxus olivacea
Buxus pilosula
Buxus portoricensis
Buxus rheedioides
Buxus vahlii
Canellaceae
Canella winteriana
Cannabaceae
Celtis trinervia
Capparidaceae
Capparis
Capparis baducca
Capparis cynophallophora
Capparis flexuosa
Capparis hastata
Capparis indica
Celastraceae
Cassine xylocarpa
Gyminda latifolia
Maytenus
Maytenus monticola[2]
Maytenus reflex[2]
Schaefferia frutescens
Clusiaceae
Calophyllum
Calophyllum calaba
Calophyllum lucidum
Clusia
Clusia aripoensis[2]
Clusia intertexta[2]
Clusia minor
Clusia rosea
Clusia tocuchensis[2]
Mammea americana
Combretaceae
Conocarpus erectus
Buchenavia tetraphylla
Bucida buceras
Conocarpus erectus (Buttonwood)
Laguncularia racemosa
Terminalia amazonia
Cupressaceae
Juniperus barbadensis
Juniperus gracilior
Juniperus saxicola
Cyrillaceae
Cyrilla racemiflora
Cyrilla racemiflora
Dilleniaceae
Curatella americana
Elaeocarpaceae
Muntingia calabura
Sloanea berteroana
Sloanea caribaea
Erythroxylaceae
Erythroxylum
Erythroxylum areolatum
Erythroxylum brevipes
Erythroxylum rotundifolium
Erythroxylum urbanii
Euphorbiaceae
Adelia rincinella
Alchornea latifolia
Bernardia dichotoma
Fluggea acidoton
Gymnanthes lucida
Hura crepitans
Jatropha hernandiifolia
Picrodendron baccatum
Savia sessiliflora
Fabaceae
Enterolobium cyclocarpum
Andira inermis
Caesalpinia coriaria
Enterolobium cyclocarpum
Hymenaea courbaril
Inga
Inga fagifolia
Inga vera
Mora excelsa
Ormosia krugii
Pictetia aculeata
Piscidia carthagenensis
Pithecellobium unguis-cati
Pterocarpus officinalis
Flacourtiaceae
Samyda dodecandra
Xylosoma buxifolia
Garryaceae
Garrya fadyenii
Hernandiaceae
Hernandia sonora
Juglandaceae
Juglans jamaicensis
Lecythidaceae
Eschweilera subglandulosa
Malpighiaceae
Byrsonima
Byrsonima crassifolia
Byrsonima spicata
Malvaceae
Talipariti elatum (Blue Mahoe)
Thespesia grandiflora
Magnoliaceae
Magnolia
Magnolia cristalensis [33]
Magnolia cubensis [34]
Magnolia dealbata [35]
Magnolia domingensis [36]
Magnolia ekmanii [37]
Magnolia emarginata [38]
Magnolia hamorii [39]
Magnolia minor [40]
Magnolia pallescens [41]
Magnolia portoricensis [42]
Magnolia splendens [43]
Meliaceae
Cedrela odorata
Carapa
Carapa guianensis
Cedrela odorata
Guarea
Guarea guidonia
Swietenia mahagoni (West Indian Mahogany)
Trichilia
Trichilia hirta
Trichilia triacantha
Moraceae
Cecropia
Cecropia peltata
Cecropia schreberiana
Ficus
Ficus americana[44]
Ficus aurea[44]
Ficus citrifolia
Ficus maxima[45]
Maclura tinctoria
Myrtaceae
Eugenia
Eugenia axillaris
Eugenia biflora
Eugenia cruegeri[2]
Eugenia foetida
Eugenia lingustrina
Eugenia monticola
Eugenia procera
Eugenia rhombea
Eugenia woodburyana
Eugenia xerophytica
Myrciaria floribunda
Psidium
Psidium amplexicaule
Psidium guajava (Guava)
Nyctaginaceae
Guapira fragrans
Neea buxifolia
Pisonia
Pisonia aculeata
Pisonia albida
Pisonia subcordata
Oleaceae
Forestiera segregata
Ximenia americana
Pinaceae
Pinus cubensis
Pinus
Pinus caribaea
Pinus cubensis
Pinus occidentalis
Pinus tropicalis
Podocarpaceae
Podocarpus
Podocarpus angustifolius
Podocarpus aristulatus
Podocarpus coriaceus
Podocarpus hispaniolensis
Podocarpus purdieanus
Podocarpus trinitensis
Podocarpus urbanii
Polygonacea
Coccoloba uvifera
Coccoloba
Coccoloba diversifolia
Coccoloba krugii
Coccoloba microstachya
Coccoloba swartzii
Coccoloba uvifera (Sea grape)
Rhamnaceae
Colubrina
Colubrina arborescens
Colubrina elliptica
Reynosia
Reynosia guama
Reynosia uncinata
Krugiodendron ferreum
Ziziphus reticulata
Rhizophoraceae
Rhizophora mangle
Rhizophora mangle
Rosaceae
Prunus occidentalis
Rubiaceae
Antirhea
Antirhea acutata
Antirhea lucida
Erithalis fruticosa
Exostema caribaeum
Genipa americana
Guettarda
Guettarda elliptica
Guettarda krugii
Guettarda odorata
Randia
Randia aculeata
Randia portoricensis
Rondelita inermis
Rutaceae
Amyris elemifera
Amyris
Amyris balsamifera
Amyris elemifera
Zanthoxylum
Zanthoxylum flavum
Zanthoxylum martinicense
Zanthoxylum monophyllum
Zanthoxylum spinifex
Zanthoxylum thomasianum
Sapindaceae
Cupania americana
Melicoccus bijugatus
Thouinia striata
Sapotaceae
Chrysophyllum
Chrysophyllum argenteum[46]
Chrysophyllum cainito[47]
Chrysophyllum oliviforme[48]
Chrysophyllum pauciflorum[49]
Manilkara
Manilkara bidentata[50]
Manilkara excisa[51]
Manilkara gonavensis[52]
Manilkara jaimiqui[53]
Manilkara mayarensis[54]
Manilkara pleeana[55]
Manilkara sideroxylon[56]
Manilkara valenzuelana[57]
Micropholis
Micropholis chrysophylloides
Pouteria
Pouteria multiflora
Pouteria sapota–Mamey sapote
Pradosia
Sideroxylon
Sideroxylon obovatum
Sideroxylon salicifolium
Sterculiaceae
Guazuma ulmifolia
Theophrastaceae
Jacquinia
Jacquinia armillaris
Jacquinia berteroi
Jacquinia umbellata
Verbenaceae
Citharexylum fruticosa
Petitia domingensis
Zamiaceae
Zamia
Zamia amblyphyllidia
Zamia portoricensis
Zamia pumila (Coontie)
Zygophyllaceae
Guaiacum
Guaiacum officinale (Lignum vitae)
Guaiacum sanctum
Non-native species
This list is incomplete; you can help by adding missing items with reliable sources.
Anacardiaceae
Mangifera indica
Mango (Mangifera indica)
Arecaceae
Coconut (Cocos nucifera)
Bignoniaceae
Jacaranda (Jacaranda spp.)
Casuarinaceae
Casuarina equisetifolia
Combretaceae
Indian almond (Terminalia catappa)
Fabaceae
Delonix regia
Samaan tree (Albizia saman)
Flamboyant (Delonix regia)
Tamarind (Tamarindus indica)
Moraceae
Breadfruit (Artocarpus altilis)
Ficus benjamina
Sapindaceae
Ackee (Blighia sapida)
Sapotaceae
Manilkara zapota[58]
Verbenaceae
Tectona grandis
Teak (Tectona grandis)monticola
Eugenia procera
Eugenia rhombea
Eugenia woodburyana
Eugenia xerophytica
Myrciaria floribunda
Psidium
Psidium amplexicaule
Psidium guajava (Guava)
Nyctaginaceae
Guapira fragrans
Neea buxifolia
Pisonia
Pisonia aculeata
Pisonia albida
Pisonia subcordata
Oleaceae
Forestiera segregata
Ximenia americana
Pinaceae
Pinus cubensis
Pinus
Pinus caribaea
Pinus cubensis
Pinus occidentalis
Pinus tropicalis
Podocarpaceae
Podocarpus
Podocarpus angustifolius
Podocarpus aristulatus
Podocarpus coriaceus
Podocarpus hispaniolensis
Podocarpus purdieanus
Podocarpus trinitensis
Podocarpus urbanii
Polygonaceae
Coccoloba uvifera
Coccoloba
Coccoloba diversifolia
Coccoloba krugii
Coccoloba microstachya
Coccoloba swartzii
Coccoloba uvifera (Sea grape)
Rhamnaceae
Colubrina
Colubrina arborescens
Colubrina elliptica
Reynosia
Reynosia guama
Reynosia uncinata
Krugiodendron ferreum
Ziziphus reticulata
Rhizophoraceae
Rhizophora mangle
Rhizophora mangle
Rosaceae
Prunus occidentalis
Rubiaceae
Antirhea
Antirhea acutata
Antirhea lucida
Erithalis fruticosa
Exostema caribaeum
Genipa americana
Guettarda
Guettarda elliptica
Guettarda krugii
Guettarda odorata
Randia
Randia aculeata
Randia portoricensis
Rondelita inermis
Rutaceae
Amyris elemifera
Amyris
Amyris balsamifera
Amyris elemifera
Zanthoxylum
Zanthoxylum flavum
Zanthoxylum martinicense
Zanthoxylum monophyllum
Zanthoxylum spinifex
Zanthoxylum thomasianum
Sapindaceae
Cupania americana
Melicoccus bijugatus
Thouinia striata
Sapotaceae
Chrysophyllum
Chrysophyllum argenteum[46]
Chrysophyllum cainito[47]
Chrysophyllum oliviforme[48]
Chrysophyllum pauciflorum[49]
Manilkara
Manilkara bidentata[50]
Manilkara excisa[51]
Manilkara gonavensis[52]
Manilkara jaimiqui[53]
Manilkara mayarensis[54]
Manilkara pleeana[55]
Manilkara sideroxylon[56]
Manilkara valenzuelana[57]
Micropholis
Micropholis chrysophylloides
Pouteria
Pouteria multiflora
Pouteria sapota–Mamey sapote
Pradosia
Sideroxylon
Sideroxylon obovatum
Sideroxylon salicifolium
Sterculiaceae
Guazuma ulmifolia
Theophrastaceae
Jacquinia
Jacquinia armillaris
Jacquinia berteroi
Jacquinia umbellata
Verbenaceae
Citharexylum fruticosa
Petitia domingensis
Zamiaceae
Zamia
Zamia amblyphyllidia
Zamia portoricensis
Zamia pumila (Coontie)
Zygophyllaceae
Guaiacum
Guaiacum officinale (Lignum vitae)
Guaiacum sanctum
Non-native species
This list is incomplete; you can help by adding missing items with reliable sources.
Anacardiaceae
Mangifera indica
Mango (Mangifera indica)
Arecaceae
Coconut (Cocos nucifera)
Bignoniaceae
Jacaranda (Jacaranda spp.)
Casuarinaceae
Casuarina equisetifolia
Combretaceae
Indian almond (Terminalia catappa)
Fabaceae
Delonix regia
Samaan tree (Albizia saman)
Flamboyant (Delonix regia)
Tamarind (Tamarindus indica)
Moraceae
Breadfruit (Artocarpus altilis)
Ficus benjamina
Sapindaceae
Ackee (Blighia sapida)
Sapotaceae
Manilkara zapota[58]
Verbenaceae
Tectona grandis
Teak (Tectona grandis)
Abies lasiocarpa
Abies magnifica
Abies procera
Acer macrophyllum
Acer negundo
Acer rubrum
Acer saccharinum
Acer saccharum
Alnus alnobetula
Alnus incana
Alnus rubra
American chestnut
Aralia spinosa
Arbutus menziesii
Asimina
Asimina triloba
Avicennia germinans
Blue spruce
Carpinus caroliniana
Celtis occidentalis
Chamaecyparis thyoides
Cornus florida
Genipa americana
Juglans major
Juglans nigra
Larix laricina
Larix lyallii
Liquidambar styraciflua
Ostrya virginiana
Picea glauca
Pinus echinata
Pinus engelmannii
Pinus taeda
Populus sect. Aigeiros
Populus tremuloides
Prunus americana
Pseudotsuga
Quercus alba
Quercus arizonica
Quercus muehlenbergii
Sabal mexicana
Sassafras albidum
Spondias mombin
Tilia americana
Ulmus americana
Acacia podalyriifolia
Acacia sassa
Adansonia digitata
Afrocarpus dawei
Afrocarpus falcatus
Afrocarpus gracilior
Afrocarpus usambarensis
Afzelia bipindensis
Afzelia pachyloba
Afzelia quanzensis
Albizia adianthifolia
Albizia amara
Albizia ferruginea
Albizia gummifera
Albizia obbiadensis
Albizia vaughanii
Aloe marlothii
Androstachys
Anogeissus leiocarpa
Anonidium mannii
Antrocaryon micraster
Arbutus canariensis
Aucoumea klaineana
Avicennia germinans
Baikiaea ghesquiereana
Baikiaea insignis
Baillonella
Balanites aegyptiaca
Balanites angolensis
Balanites glabra
Balanites pedicellaris
Balanites rotundifolia
Balanites wilsoniana
Baphia nitida
Bersama abyssinica
Big Tree in Chirinda Forest
Blighia sapida
Bombax buonopozense
Borassus aethiopum
Boscia senegalensis
Boswellia frereana
Brachystegia
Brachystegia angustistipulata
Brachystegia bakeriana
Brachystegia boehmii
Brachystegia eurycoma
Brachystegia glaucescens
Brachystegia kennedyi
Brachystegia laurentii
Brachystegia nigerica
Brachystegia spiciformis
Brachystegia tamarindoides
Brachystegia zenkeri
Bridelia micrantha
Calodendrum eickii
Capparis decidua
Carapa
Cassia fikifiki
Ceiba pentandra
Celtis africana
Celtis australis
Ceriops tagal
Chrysobalanus icaco
Chrysophyllum albidum
Chrysophyllum viridifolium
Cola boxiana
Cola umbratilis
Combretum constrictum
Combretum glutinosum
Combretum hereroense
Combretum imberbe
Combretum micranthum
Combretum mkuzense
Combretum molle
Commiphora africana
Cordia africana
Cordia platythyrsa
Cordyla africana
Craibia atlantica
Crescentia cujete
Cryptocarya woodii
Cupressus dupreziana
Cyphostemma bainesii
Dalbergia melanoxylon
Daniellia oliveri
Date palm
Deinbollia oblongifolia
Delonix regia
Detarium
Dialium guineense
Didymeles
Diospyros crassiflora
Diospyros mespiliformis
Dodonaea angustifolia
Drypetes arguta
Drypetes gerrardii
Dypsis
Ehretia cymosa
Englerodendron leptorrhachis
Englerodendron obanense
Englerodendron vignei
Ensete ventricosum
Entandrophragma excelsum
Entandrophragma utile
Erythrina fusca
Erythrina latissima
Erythrophleum ivorense
Euclea crispa
Euclea natalensis
Euclea racemosa
Eugenia tabouensis
Faidherbia
Ficus abutilifolia
Ficus capreifolia
Ficus cordata
Ficus craterostoma
Ficus exasperata
Ficus faulkneriana
Ficus glumosa
Ficus ilicina
Ficus ingens
Ficus lateriflora
Ficus natalensis
Ficus polita
Ficus salicifolia
Ficus sansibarica
Ficus sur
Garcinia afzelii
Garcinia epunctata
Garcinia kola
Garcinia livingstonei
Garcinia mannii
Gilbertiodendron splendidum
Guibourtia
Guibourtia coleosperma
Guibourtia tessmannii
Gymnosporia heterophylla
Gymnostemon
Hagenia
Harrisonia abyssinica
Hunteria ghanensis
Hymenocardia acida
Hymenostegia gracilipes
Hyphaene compressa
Hyphaene coriacea
Hyphaene petersiana
Hyphaene thebaica
Ilex aquifolium
Ilex mitis
Intsia bijuga
Irvingia gabonensis
Isoberlinia
Isoberlinia doka
Isoberlinia scheffleri
Isoberlinia tomentosa
Julbernardia globiflora
Julbernardia magnistipulata
Julbernardia paniculata
Julbernardia seretii
Khat
Khaya anthotheca
Kigelia
Kirkia dewinteri
Lannea welwitschii
Lasiodiscus fasciculiflorus
Lasiodiscus rozeirae
Laurus nobilis
Livistona carinensis
Loesenera kalantha
Lumnitzera racemosa
Macaranga beillei
Maerua racemulosa
Maesa lanceolata
Mammea
Michelsonia
Microberlinia
Microberlinia brazzavillensis
Millettia laurentii
Millettia stuhlmannii
Monotes lutambensis
Moringa arborea
Moringa ovalifolia
Moringa stenopetala
Morus mesozygia
Musanga cecropioides
Myrica faya
Nauclea
Ocotea argylei
Ocotea gabonensis
Ocotea kenyensis
Ocotea lancilimba
Ocotea usambarensis
Octolobus
Okoubaka
Olea capensis
Olea europaea subsp. cuspidata
Olea woodiana
Olive
Pappea
