Bluebird - Charles Bukowski
The Night Ride - Kenneth Slessor
The Last Of His Tribe - Henry Kendall
The Licorice Fields At Pontefract - Sir John Betjeman
This Is Not The Place Where I Was Born - Miguel Pinero
Suicide Off Egg Rock - Sylvia Plath
Sailor Town - Cicely Fox Smith
211th Chorus - Jack Kerouac
A Refusal To Mourn The Death, By Fire, Of A Child In London - Dylan Thomas
From: War Is Kind - Stephen Maria Crane
The child is not dead - Ingrid Jonker
Jitterbug Jesus - Miguel Pinero
Jewish Wedding in Bombay - Nissim Ezekiel
Morning Song - Sylvia Plath
What The Motorcycle Said - Mona Van Duyn
Australia - A D Hope
Riparto D'Assalto - Ernest Hemingway
Horses on the Camargue - Roy Campbell
Hard Frost - Andrew John Young
2 a.m. - Ernesto Trejo
Autumn - Roy Campbell
Collection of Six Haiku - Matsuo Basho
Voyages III - Harold Hart Crane
Meeting At Night - Robert Browning
Exposure - Wilfred Owen
The Meadow Mouse - Theodore Roethke
Moonlit Apples - John Drinkwater
The Rear-Guard - Siegfried Sassoon
The Bull Moose - Alden Nowlan
The Zonnebeke Road - Edmund Blunden
The Welsh Hill Country - R S Thomas
Birches - Robert Frost
Sonnet - Toru Dutt
Trapped Dingo - Judith Wright
Myfanwy - Sir John Betjeman
Harrow-On-The-Hill - Sir John Betjeman
Beaucourt Revisited - A P Herbert
Bell Birds - Henry Kendall
Sunny Prestatyn - Philip Larkin
A Ballad of John Silver - John Masefield
a man who had fallen among thieves - E.e. cummings
Primaveral (With English Translation) - Ruben Dario
The Faithless Wife - Federico Garcia Lorca
An Old Man's Winter Night - Robert Frost
Mcmxiv - Philip Larkin   #20
The Bus - Arun Kolatkar
The Old Grey Squirrel - Alfred Noyes
Do Not Stand At My Grave And Weep - Mary Frye
It's September - Edgar Albert Guest
Trebetherick - Sir John Betjeman
Prayers To Lord Murugan - A.K. Ramanujan
Triangles - Pablo Neruda
hastee apnee Hubaab kee see hai - Meer Taqi Meer
Wombat - Douglas Alexander Stewart
A Sea Dream - Cicely Fox Smith
Fern Hill - Dylan Thomas
Ode On The Death Of A Favourite Cat Drowned In A Tub Of Gold Fishes - Thomas Gray
Steppe - Arseny Tarkovsky
Armies In The Fire - Robert Louis Stevenson
Still I Rise - Maya Angelou
Dreams - Langston Hughes
I Know Why The Caged Bird Sings - Maya Angelou
Daffodils - William Wordsworth
A Smile To Remember - Charles Bukowski
On The Ning Nang Nong - Spike Milligan
No Man Is an Island - John Donne
Alone With Everybody - Charles Bukowski
Remember - Christina Georgina Rossetti
Ozymandias - Percy Bysshe Shelley
Jabberwocky - Lewis Carroll
An Almost Made Up Poem - Charles Bukowski
Carpe Diem - William Shakespeare
A Clear Midnight - Walt Whitman
One Art - Elizabeth Bishop
Death Be Not Proud - John Donne
A Red, Red Rose - Robert Burns
Love's Philosophy - Percy Bysshe Shelley
And Death Shall Have No Dominion - Dylan Thomas
A Character - William Wordsworth
Hot And Cold - Roald Dahl
A Silly Poem - Spike Milligan
Solitude - Ella Wheeler Wilcox
Auguries of Innocence - William Blake
In Flanders Field - John McCrae
A child said, What is the grass? - Walt Whitman
I Thought Of You - Sara Teasdale
When You Are Old - William Butler Yeats
Dover Beach - Matthew Arnold
Lovesong - Ted Hughes
Abou Ben Adhem - James Henry Leigh Hunt
Love After Love - Derek Walcott
First Love - John Clare
The Red Wheelbarrow - William Carlos Williams
A Lover's Call XXVII - Khalil Gibran
A Word to Husbands - Ogden Nash
A Crazed Girl - William Butler Yeats
Echo - Christina Georgina Rossetti
Another Reason Why I Don't Keep A Gun In The House - Billy Collins
Have A Nice day - Spike Milligan
Not Waving but Drowning - Stevie Smith
Friendship - Henry David Thoreau
The Cremation of Sam McGee - Robert W Service
A Very Short Song - Dorothy Parker
Ulysses - Alfred Lord Tennyson
A Walk - Rainer Maria Rilke
A Gleam Of Sunshine - Henry Wadsworth Longfellow
I Am In Need Of Music - Elizabeth Bishop
Clouds And Waves - Rabindranath Tagore
Alone and Drinking Under the Moon - Li Po
Those Winter Sundays - Robert Hayden
For whom the Bell Tolls - John Donne
This Is Just To Say - William Carlos Williams
Life - Charlotte Bronte
Life's Tragedy - Paul Laurence Dunbar
Always Marry An April Girl - Ogden Nash
A Grain Of Sand - Robert W Service
The Passionate Shepherd To His Love - Christopher Marlowe
The Fish - Elizabeth Bishop
A Golden Day - Paul Laurence Dunbar
On Raglan Road - Patrick Kavanagh
Good-Night - Percy Bysshe Shelley
If We Must Die - Claude McKay
A Tear And A Smile - Khalil Gibran
A Supermarket In California - Allen Ginsberg
